"","INSTNM","GRAD_DEBT_MDN"
"1977","Rowan University","20500"
"1978","Rowan College of South Jersey Gloucester Campus","11737"
"1979","Empire Beauty School-Cherry Hill","11250"
"1980","Harris School of Business-Cherry Hill Campus","8820"
"1981","Eastwick College-Ramsey","16391"
"1982","Holy Name Medical Center-Sister Claire Tynan School of Nursing","19999"
"1983","Hudson County Community College","9875"
"1984","New Jersey City University","18233"
"1985","Joe Kubert School of Cartoon and Graphic Art","PrivacySuppressed"
"1986","Kean University","23472"
"1987","Harris School of Business-Voorhees Campus","7959"
"1988","Lincoln Technical Institute-Union","11730"
"1989","Rizzieri Aveda School for Beauty and Wellness","5500"
"1990","Mercer County Community College","9703"
"1991","Middlesex County College","9523"
"1992","Monmouth University","26899"
"1993","Montclair State University","22507"
"1994","JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools","21000"
"1995","Eastwick College-Nutley","11796"
"1996","New Brunswick Theological Seminary","PrivacySuppressed"
"1997","Robert Fiance Beauty Schools-West New York","7000"
"1998","New Jersey Institute of Technology","21500"
"1999","Ocean County College","12000"
"2000","P B Cosmetology Education Center","7667"
"2001","Parisian Beauty School","7667"
"2002","Passaic County Community College","7874"
"2003","Pennco Tech-Blackwood","9500"
"2004","Princeton Theological Seminary","PrivacySuppressed"
"2005","Princeton University","10450"
"2006","Rabbinical College of America","PrivacySuppressed"
"2007","Ramapo College of New Jersey","21500"
"2008","Robert Fiance Beauty Schools","8083"
"2009","Rider University","26000"
"2010","Rutgers University-Camden","21980"
"2011","Rutgers University-New Brunswick","21980"
"2012","Rutgers University-Newark","21980"
"2013","St Francis Medical Center-School of Radiologic Technology","PrivacySuppressed"
"2014","Saint Francis Medical Center School of Nursing","PrivacySuppressed"
"2015","Saint Peter's University","21417"
"2016","Salem Community College","9750"
"2017","Seton Hall University","23000"
"2018","Atlantic Beauty & Spa Academy LLC","7594"
"2019","Saint Elizabeth University","22250"
"2020","Raritan Valley Community College","11000"
"2021","Stevens Institute of Technology","27000"
"2022","Stockton University","21250"
"2023","Talmudical Academy-New Jersey","PrivacySuppressed"
"2024","Teterboro School of Aeronautics","13110"
"2025","Thomas Edison State University","12500"
"2026","The College of New Jersey","23250"
"2027","Union County College","14250"
"2028","William Paterson University of New Jersey","23000"
"2029","Olympian Academy of Cosmetology","9833"
"2030","Central New Mexico Community College","6834"
"2031","Navajo Technical University","PrivacySuppressed"
"2032","New Mexico State University-Dona Ana","18464"
"2033","Clovis Community College","6750"
"2034","Eastern New Mexico University-Main Campus","16000"
"2035","Eastern New Mexico University-Roswell Campus","16000"
"2036","Institute of American Indian and Alaska Native Culture and Arts Development","PrivacySuppressed"
"2037","New Mexico Highlands University","12996"
"2038","New Mexico Junior College","9250"
"2039","New Mexico Military Institute","5500"
"2040","University of New Mexico-Gallup Campus","18500"
"2041","New Mexico Institute of Mining and Technology","19000"
"2042","University of New Mexico-Los Alamos Campus","18500"
"2043","University of New Mexico-Main Campus","18500"
"2044","New Mexico State University-Alamogordo","18464"
"2045","New Mexico State University-Carlsbad","18464"
"2046","New Mexico State University-Grants","18464"
"2047","New Mexico State University-Main Campus","18464"
"2048","University of New Mexico-Valencia County Campus","18500"
"2049","Northern New Mexico College","9395"
"2050","San Juan College","10776"
"2051","Santa Fe Community College","13236"
"2052","University of the Southwest","23000"
"2053","Southwestern College","PrivacySuppressed"
"2054","Southwestern Indian Polytechnic Institute","PrivacySuppressed"
"2055","University of New Mexico-Taos Campus","18500"
"2056","Mesalands Community College","4750"
"2057","Vogue College of Cosmetology-Santa Fe","8000"
"2058","Western New Mexico University","23105"
"2059","Vaughn College of Aeronautics and Technology","22750"
"2060","Adelphi University","25000"
"2061","SUNY Adirondack","13841"
"2062","Bryant & Stratton College-Albany","20884"
"2063","Albany College of Pharmacy and Health Sciences","27000"
"2064","Albany Law School","PrivacySuppressed"
"2065","Albany Medical College","PrivacySuppressed"
"2066","Alfred University","26000"
"2067","Allen School-Brooklyn","9500"
"2068","The Ailey School","13899"
"2069","American Academy of Dramatic Arts-New York","12000"
"2070","American Academy McAllister Institute of Funeral Service","22600"
"2071","Joffrey Ballet School","PrivacySuppressed"
"2072","American Musical and Dramatic Academy","12000"
"2073","Apex Technical School","9500"
"2074","Arnot Ogden Medical Center","19500"
"2075","Associated Beth Rivkah Schools","PrivacySuppressed"
"2076","Bank Street College of Education","PrivacySuppressed"
"2077","Bard College","25910"
"2078","Barnard College","18500"
"2079","Berk Trade and Business School","6333"
"2080","Berkeley College-New York","30581"
"2081","Berkowits School of Electrolysis","PrivacySuppressed"
"2082","Beth Hamedrash Shaarei Yosher Institute","PrivacySuppressed"
"2083","Phillips School of Nursing at Mount Sinai Beth Israel","15375"
"2084","Brittany Beauty Academy","6333"
"2085","Boricua College","6706"
"2086","Brittany Beauty Academy","6333"
"2087","American Beauty School","4157"
"2088","Brooklyn Law School","PrivacySuppressed"
"2089","SUNY Broome Community College","12000"
"2090","Bryant & Stratton College-Syracuse North","20884"
"2091","Bryant & Stratton College-Buffalo","20884"
"2092","Bryant & Stratton College-Greece","20884"
"2093","Canisius College","23750"
"2094","Capri Cosmetology Learning Centers","5895"
"2095","St Paul's School of Nursing-Queens","24026"
"2096","Cayuga County Community College","14000"
"2097","Cazenovia College","24981"
"2098","Central Yeshiva Tomchei Tmimim Lubavitz","PrivacySuppressed"
"2099","Christ the King Seminary","PrivacySuppressed"
"2100","Christine Valmy International School for Esthetics Skin Care & Makeup","5481"
"2101","Circle in the Square Theatre School","PrivacySuppressed"
"2102","Clarkson University","26896"
"2103","Clinton Community College","12000"
"2104","Cochran School of Nursing","19848"
"2105","Colgate Rochester Crozer Divinity School","PrivacySuppressed"
"2106","Colgate University","16000"
"2107","Metropolitan College of New York","28250"
"2108","Columbia University in the City of New York","21500"
"2109","Columbia-Greene Community College","12969"
"2110","Empire Beauty School-Queens","11250"
"2111","Concordia College","24325"
"2112","Continental School of Beauty Culture-Rochester","6333"
"2113","Cooper Union for the Advancement of Science and Art","14000"
"2114","Cornell University","14500"
"2115","Weill Medical College of Cornell University","14500"
"2116","SUNY Corning Community College","11950"
"2117","Pomeroy College of Nursing at Crouse Hospital","15250"
"2118","Culinary Institute of America","14000"
"2119","CUNY Bernard M Baruch College","11130"
"2120","CUNY Borough of Manhattan Community College","8119"
"2121","CUNY Bronx Community College","7611"
"2122","CUNY Brooklyn College","11000"
"2123","College of Staten Island CUNY","14263"
"2124","CUNY City College","12348"
"2125","CUNY Graduate School and University Center","12460"
"2126","CUNY Hostos Community College","8625"
"2127","CUNY Hunter College","12000"
"2128","CUNY John Jay College of Criminal Justice","11000"
"2129","CUNY Kingsborough Community College","7300"
"2130","CUNY LaGuardia Community College","6750"
"2131","CUNY Lehman College","10812"
"2132","CUNY Medgar Evers College","10500"
"2133","CUNY New York City College of Technology","10226"
"2134","CUNY Queens College","11000"
"2135","CUNY Queensborough Community College","8676"
"2136","CUNY School of Law","PrivacySuppressed"
"2137","CUNY York College","10500"
"2138","CVPH Medical Center School of Radiologic Technology","PrivacySuppressed"
"2139","D'Youville College","25015"
"2140","Daemen College","20133"
"2141","Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary","PrivacySuppressed"
"2142","Dominican College of Blauvelt","25444"
"2143","Dutchess Community College","9750"
"2144","Belanger School of Nursing","15250"
"2145","Elmira Business Institute","25250"
"2146","Elmira College","27000"
"2147","Erie Community College","9465"
"2148","Fashion Institute of Technology","13000"
"2149","Finger Lakes Community College","12000"
"2150","Five Towns College","22914"
"2151","Fordham University","25000"
"2152","The International Culinary Center","6333"
"2153","Fulton-Montgomery Community College","12000"
"2154","Gemological Institute of America-New York","PrivacySuppressed"
"2155","The General Theological Seminary","PrivacySuppressed"
"2156","Genesee Community College","11445"
"2157","Hamilton College","17000"
"2158","Hartwick College","27000"
"2159","Helene Fuld College of Nursing","15250"
"2160","Herkimer County Community College","11795"
"2161","Hilbert College","26000"
"2162","Hobart William Smith Colleges","27000"
"2163","Hofstra University","23500"
"2164","Houghton College","25000"
"2165","Hudson Valley Community College","10909"
"2166","Hunter Business School","7785"
"2167","Iona College","26000"
"2168","Isabella Graham Hart School of Practical Nursing","PrivacySuppressed"
"2169","Island Drafting and Technical Institute","PrivacySuppressed"
"2170","Ithaca College","25000"
"2171","Jamestown Community College","10250"
"2172","Jamestown Business College","14000"
"2173","Jefferson Community College","11887"
"2174","Jewish Theological Seminary of America","PrivacySuppressed"
"2175","The Juilliard School","25585"
"2176","Kehilath Yakov Rabbinical Seminary","PrivacySuppressed"
"2177","Keuka College","26000"
"2178","LIM College","23250"
"2179","Le Moyne College","24098"
"2180","Long Island University","23750"
"2181","Long Island Beauty School-Hempstead","8105"
"2182","Long Island Business Institute","19090"
"2183","Machzikei Hadath Rabbinical College","PrivacySuppressed"
"2184","Mandl School-The College of Allied Health","19000"
"2185","Manhattan College","26000"
"2186","Manhattan School of Music","26672"
"2187","Manhattanville College","25000"
"2188","Maria College of Albany","20000"
"2189","Marion S Whelan School of Nursing of Geneva General Hospital","18159"
"2190","Marist College","25000"
"2191","Marymount Manhattan College","25000"
"2192","Medaille College","23478"
"2193","St. Peter's Hospital College of Nursing","13500"
"2194","Memorial Hospital School of Radiation Therapy Technology","PrivacySuppressed"
"2195","Mercy College","20647"
"2196","Mesivta Torah Vodaath Rabbinical Seminary","PrivacySuppressed"
"2197","Mesivta of Eastern Parkway-Yeshiva Zichron Meilech","PrivacySuppressed"
"2198","Mesivtha Tifereth Jerusalem of America","PrivacySuppressed"
"2199","Southern Westchester BOCES-Practical Nursing Program","9500"
"2200","Midway Paris Beauty School","7069"
"2201","Mildred Elley School-Albany Campus","18583"
"2202","Mirrer Yeshiva Cent Institute","PrivacySuppressed"
